Model_name,Model_link,Model_experiment_details,Average_open_llm_score ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Not Available on HF,Model sha,Flagged,MoE,Average_llm_safety_score ⬆️,Non-toxicity,Non-Stereotype,AdvGLUE++,OoD,Adv Demo,Privacy,Ethics,Fairness,Experiment 🧪,Prefill (s),Decode (tokens/s),Memory (MB),Energy (tokens/kWh),chatbot_arena_rank ⬆️,Arena Elo,chatbot_arena_votes,Knowledge Cutoff,No Efficiency Data,No Safety Data,No Arena Data
Azazelle/Argetsu,https://huggingface.co/Azazelle/Argetsu,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Argetsu,69.64,67.06,86.32,65.55,56.46,79.16,63.31,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,e7238116d58f218368ab8e8099abec3cd60237c2,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Bianca-7b,https://huggingface.co/Azazelle/Bianca-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Bianca-7b,72.87,69.71,86.11,65.25,63.95,80.9,71.27,🤝 base merges and moerges,MistralForCausalLM,Original,float16,True,cc-by-4.0,7.0,0.0,True,c962dd3095ffa6ff247f3e3cef2b44f9ba500894,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Bianca-7b,https://huggingface.co/Azazelle/Bianca-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Bianca-7b,72.82,69.45,86.08,65.08,64.04,81.06,71.19,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,True,cc-by-4.0,7.0,0.0,True,c962dd3095ffa6ff247f3e3cef2b44f9ba500894,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Dumb-Maidlet,https://huggingface.co/Azazelle/Dumb-Maidlet,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Dumb-Maidlet,68.34,66.81,86.06,65.17,50.7,80.19,61.11,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,1.0,False,1bbd507bb7dd502bbca4105406a6e57abe3c1187,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Half-NSFW_Noromaid-7b,https://huggingface.co/Azazelle/Half-NSFW_Noromaid-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Half-NSFW_Noromaid-7b,62.32,62.8,84.82,63.76,46.05,78.06,38.44,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,4.0,False,378e5fb671d593432ce6c7ddc19ac8e04a490df8,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/L3-RP_io,https://huggingface.co/Azazelle/L3-RP_io,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__L3-RP_io,67.88,63.05,79.86,67.92,52.9,75.69,67.85,🤝 base merges and moerges,LlamaForCausalLM,Original,bfloat16,False,llama3,8.0,1.0,False,8b58a655eeb31f4c5a497123433760cbd9e7729f,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Maylin-7b,https://huggingface.co/Azazelle/Maylin-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Maylin-7b,70.26,66.81,86.4,64.73,60.24,79.64,63.76,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-4.0,7.0,0.0,False,c5fa9f4812daf2538e3e052c0346d9efb321c650,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Mocha-Dare-7b-ex,https://huggingface.co/Azazelle/Mocha-Dare-7b-ex,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Mocha-Dare-7b-ex,64.08,61.26,81.6,60.77,53.44,73.8,53.6,🤝 base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,4cedadeb455e4507b4fc1a4ac14b0340ed43cd05,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Mocha-SR-7b-ex,https://huggingface.co/Azazelle/Mocha-SR-7b-ex,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Mocha-SR-7b-ex,63.69,59.81,81.24,60.87,54.72,73.09,52.39,🤝 base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,18919ffe9ea22d5cd29cb582043bbc806098b9d7,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Mocha-Sample-7b-ex,https://huggingface.co/Azazelle/Mocha-Sample-7b-ex,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Mocha-Sample-7b-ex,66.53,64.76,84.35,62.2,54.18,77.11,56.56,🤝 base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,0da3176b36871025e15c3dac3787cdc4f352e63f,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Moko-DARE,https://huggingface.co/Azazelle/Moko-DARE,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Moko-DARE,56.16,60.58,82.08,61.94,52.17,75.14,5.08,🤝 base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,b95e6fa7ed89fdb901a0e1fba45c94f2154a0c2f,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Moko-SAMPLE,https://huggingface.co/Azazelle/Moko-SAMPLE,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Moko-SAMPLE,62.34,61.09,83.85,64.57,43.45,79.16,41.93,🤝 base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,0ed942b34411970e688adb0ec6fe39c2b56e5e0e,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Silicon-Medley,https://huggingface.co/Azazelle/Silicon-Medley,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Silicon-Medley,69.49,67.24,86.21,64.51,61.34,79.24,58.38,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,98e46cc2715fdeead6c6b79307b40682efb83bfc,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Sina-Loki-7b-Merge,https://huggingface.co/Azazelle/Sina-Loki-7b-Merge,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Sina-Loki-7b-Merge,65.03,59.13,81.96,64.71,53.84,78.14,52.39,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-4.0,7.0,0.0,False,5977c691a13280715c15559f2d90cb3142f74881,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Sina-Odin-7b-Merge,https://huggingface.co/Azazelle/Sina-Odin-7b-Merge,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Sina-Odin-7b-Merge,47.82,52.82,68.86,45.54,39.2,72.22,8.26,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-4.0,7.0,0.0,False,c60ddc48eabbd4e7629afd26eb5a79efb4278084,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Sina-Thor-7b-Merge,https://huggingface.co/Azazelle/Sina-Thor-7b-Merge,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Sina-Thor-7b-Merge,69.38,66.21,85.69,65.17,50.01,80.51,68.69,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-4.0,7.0,0.0,False,d2074b9f23665b98362a52ce22ba62d4870985d4,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/SlimMelodicMaid,https://huggingface.co/Azazelle/SlimMelodicMaid,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__SlimMelodicMaid,69.7,67.15,86.01,64.75,60.88,78.61,60.8,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,36c2dfb9e7822dc77a97172a517952bd6c32cd88,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Tippy-Toppy-7b,https://huggingface.co/Azazelle/Tippy-Toppy-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Tippy-Toppy-7b,69.58,66.89,85.88,65.49,55.7,78.85,64.67,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-4.0,7.0,0.0,False,933d5b9cd8963398e3cc2875ff76e5c57c1877c7,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/Yuna-7b-Merge,https://huggingface.co/Azazelle/Yuna-7b-Merge,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__Yuna-7b-Merge,71.46,67.49,86.84,64.86,61.2,80.74,67.63,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-4.0,7.0,0.0,False,d5cde262c73c9ee44c1ec85b1fb48f226ae99a77,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/smol_bruin-7b,https://huggingface.co/Azazelle/smol_bruin-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__smol_bruin-7b,71.05,67.58,86.48,65.05,55.65,81.14,70.43,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,1.0,False,967dff56741850954a96491979995a4f686eeb05,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azazelle/xDAN-SlimOrca,https://huggingface.co/Azazelle/xDAN-SlimOrca,https://huggingface.co/datasets/open-llm-leaderboard/details_Azazelle__xDAN-SlimOrca,68.04,65.61,85.7,63.67,57.68,77.66,57.92,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.0,0.0,False,f6c9f9451d35e8c3d9d5243324921114409ee077,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v1-3b,https://huggingface.co/Azure99/blossom-v1-3b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v1-3b,36.9,36.86,55.1,26.7,43.45,58.88,0.38,🔶 fine-tuned on domain-specific datasets,BloomForCausalLM,Original,float16,True,apache-2.0,3.0,1.0,False,3235ee41e3793c98749b7bbd2bb80882a12ac889,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v2-3b,https://huggingface.co/Azure99/blossom-v2-3b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v2-3b,35.98,35.32,54.1,23.99,43.11,58.8,0.53,🔶 fine-tuned on domain-specific datasets,BloomForCausalLM,Original,float16,True,apache-2.0,3.0,0.0,False,1a403344de52ddb7f18548a526a927714adfe4d4,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v2-llama2-7b,https://huggingface.co/Azure99/blossom-v2-llama2-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v2-llama2-7b,51.71,54.1,78.57,51.66,46.84,74.35,4.78,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,True,apache-2.0,7.0,1.0,False,8c71cdb481ce6bbda3b2042e5526a232ab23825c,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v3-mistral-7b,https://huggingface.co/Azure99/blossom-v3-mistral-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v3-mistral-7b,62.95,60.49,81.9,61.35,50.31,76.95,46.7,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,2.0,False,ec6e84a662c801e248d3bb3a19529155de02bda0,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v3_1-mistral-7b,https://huggingface.co/Azure99/blossom-v3_1-mistral-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v3_1-mistral-7b,62.53,60.49,81.71,61.0,49.51,75.53,46.93,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,1.0,False,d84e28c169a93933829e10f314f1e3e674df9843,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v3_1-yi-34b,https://huggingface.co/Azure99/blossom-v3_1-yi-34b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v3_1-yi-34b,68.16,65.36,84.24,74.37,56.06,82.08,46.85,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,34.0,7.0,False,2ec5cbb112a31c62c8631b89fbde0aebaabb6e0a,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v4-mistral-7b,https://huggingface.co/Azure99/blossom-v4-mistral-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v4-mistral-7b,63.61,62.03,82.9,62.48,53.84,77.27,43.14,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,1.0,False,43d6205b109754c02a4606beee64f42d151067f1,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v4-qwen1_5-14b,https://huggingface.co/Azure99/blossom-v4-qwen1_5-14b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v4-qwen1_5-14b,66.74,57.34,79.84,67.92,55.21,73.64,66.49,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,14.0,1.0,False,b505d4e2311a709de56a214a33820f5a4ee0d3e5,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v4-qwen1_5-4b,https://huggingface.co/Azure99/blossom-v4-qwen1_5-4b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v4-qwen1_5-4b,56.34,46.08,70.8,55.11,47.29,67.64,51.1,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,3.0,0.0,False,574e846dbb8842b1b578b7e44eec318588579cc6,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v4-qwen1_5-7b,https://huggingface.co/Azure99/blossom-v4-qwen1_5-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v4-qwen1_5-7b,62.11,54.44,76.11,60.43,53.69,71.27,56.71,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,7.0,1.0,False,eb86db987cf43f8d3ca023e2ea3e467eb24fa61b,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-14b,https://huggingface.co/Azure99/blossom-v5-14b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-14b,67.57,58.45,80.72,68.45,54.89,75.14,67.78,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,14.0,3.0,False,c7bcffc0500cff73fdee957c3428c2ade1135dfc,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-34b,https://huggingface.co/Azure99/blossom-v5-34b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-34b,72.65,66.98,84.79,76.0,62.68,83.43,62.02,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,34.0,2.0,False,05a9ef37686d678f267a15664b5ce66612b7996a,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-4b,https://huggingface.co/Azure99/blossom-v5-4b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-4b,56.16,46.76,71.87,55.04,47.51,67.4,48.37,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,3.0,2.0,False,94ac52d3ed32f070362d6005f5e57d8ffc5e81a5,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-7b,https://huggingface.co/Azure99/blossom-v5-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-7b,63.57,56.06,77.36,61.29,54.29,72.38,60.05,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,True,adac4d4172343ca5fa56c788615cb1a98f03794d,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-9b,https://huggingface.co/Azure99/blossom-v5-9b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-9b,64.69,62.46,78.41,69.81,52.78,76.32,48.37,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,8.0,6.0,False,aa2232946290c89581c39172fe048fd70c5b6e92,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-llama3-8b,https://huggingface.co/Azure99/blossom-v5-llama3-8b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-llama3-8b,64.21,56.83,83.05,65.48,57.12,78.37,44.43,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,8.0,4.0,False,91ea35e2e65516988021e4bb3b908e3e497e05c2,True,True,,,,,,,,,,,,,,,,,,,True,True,True
Azure99/blossom-v5-mistral-7b,https://huggingface.co/Azure99/blossom-v5-mistral-7b,https://huggingface.co/datasets/open-llm-leaderboard/details_Azure99__blossom-v5-mistral-7b,61.88,62.63,84.26,62.45,51.83,78.3,31.84,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,True,67260800a04ea5cc751aec4998c3a74ce5e40c33,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BAAI/Aquila2-34B,https://huggingface.co/BAAI/Aquila2-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_BAAI__Aquila2-34B,54.57,52.47,81.9,76.03,40.85,75.53,0.61,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,34.0,17.0,False,356733caf6221e9dd898cde8ff189a98175526ec,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BAAI/Aquila2-34B,https://huggingface.co/BAAI/Aquila2-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_BAAI__Aquila2-34B,54.5,52.65,81.99,76.02,40.8,75.06,0.45,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,17.0,False,356733caf6221e9dd898cde8ff189a98175526ec,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/Meta-Llama-3-8Bee,https://huggingface.co/BEE-spoke-data/Meta-Llama-3-8Bee,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__Meta-Llama-3-8Bee,61.0,58.62,81.48,66.01,42.9,77.11,39.88,🟩 continuously pretrained,LlamaForCausalLM,Original,bfloat16,True,llama3,8.0,0.0,False,8b3aee665b8ba40d3c9f667d97b4060a5dc152cc,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/Mixtral-GQA-400m-v2,https://huggingface.co/BEE-spoke-data/Mixtral-GQA-400m-v2,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__Mixtral-GQA-400m-v2,28.45,20.22,27.78,26.1,46.55,49.96,0.08,🟢 pretrained,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,2.0,1.0,False,6f8c51d1bf60da6f8e64ba7fb75fb747d9b124cf,True,False,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/NanoLlama-GQA-L10-A32_KV8-v13-KI,https://huggingface.co/BEE-spoke-data/NanoLlama-GQA-L10-A32_KV8-v13-KI,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__NanoLlama-GQA-L10-A32_KV8-v13-KI,29.23,23.81,29.39,25.37,44.77,51.14,0.91,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,0.0,1.0,True,29fc3a802ee639be914d2a54fa6d9f595036ecf2,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/TinyLlama-1.1bee,https://huggingface.co/BEE-spoke-data/TinyLlama-1.1bee,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__TinyLlama-1.1bee,33.38,30.55,51.8,24.25,39.01,54.46,0.23,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,1.0,1.0,False,5889ec467cf80a83c4092b55686f8121e81bf001,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/TinyLlama-3T-1.1bee,https://huggingface.co/BEE-spoke-data/TinyLlama-3T-1.1bee,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__TinyLlama-3T-1.1bee,36.46,33.79,60.29,25.86,38.13,60.22,0.45,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,1.0,2.0,False,eca8e79df61b9872b84df24f61f0d8f0573d383e,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/smol_llama-101M-GQA,https://huggingface.co/BEE-spoke-data/smol_llama-101M-GQA,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__smol_llama-101M-GQA,28.97,23.55,28.77,24.24,45.76,50.67,0.83,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,0.0,21.0,False,cac68b3377fd0a1eb1aca92a2e661d81f59d8b08,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/smol_llama-101M-GQA,https://huggingface.co/BEE-spoke-data/smol_llama-101M-GQA,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__smol_llama-101M-GQA,28.96,23.46,28.73,24.35,45.8,50.67,0.76,🟢 pretrained,LlamaForCausalLM,Original,float16,True,apache-2.0,0.0,21.0,False,cac68b3377fd0a1eb1aca92a2e661d81f59d8b08,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/smol_llama-220M-GQA,https://huggingface.co/BEE-spoke-data/smol_llama-220M-GQA,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__smol_llama-220M-GQA,29.44,24.83,29.76,25.85,44.55,50.99,0.68,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,0.0,10.0,False,2d144b9a69b3620110e8a14790d383076ac87925,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/smol_llama-220M-open_instruct,https://huggingface.co/BEE-spoke-data/smol_llama-220M-open_instruct,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__smol_llama-220M-open_instruct,29.19,25.0,29.71,26.11,44.06,50.28,0.0,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,0.0,1.0,False,6d4735f86c74c881857659efb7d981c5f50bee77,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/smol_llama-220M-openhermes,https://huggingface.co/BEE-spoke-data/smol_llama-220M-openhermes,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__smol_llama-220M-openhermes,29.34,25.17,28.98,26.17,43.08,52.01,0.61,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,0.0,2.0,False,356848c3ced75332f875abf0896e0157a33abd8e,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/smol_llama-81M-tied,https://huggingface.co/BEE-spoke-data/smol_llama-81M-tied,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__smol_llama-81M-tied,28.17,22.18,29.33,24.06,43.97,49.25,0.23,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,0.0,4.0,False,096e543bd36d067a819ea867c66f14d946849053,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/verysmol_llama-v11-KIx2,https://huggingface.co/BEE-spoke-data/verysmol_llama-v11-KIx2,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__verysmol_llama-v11-KIx2,28.7,22.7,27.6,25.28,44.75,51.54,0.3,🟢 pretrained,LlamaForCausalLM,Original,float16,True,apache-2.0,0.0,4.0,False,1cd271d3d62a9e1dc4b7c2978e54806d74705439,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/zephyr-220m-dpo-full,https://huggingface.co/BEE-spoke-data/zephyr-220m-dpo-full,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__zephyr-220m-dpo-full,29.33,25.43,29.15,26.43,43.44,50.99,0.53,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,0.0,2.0,False,58b624e62557ea56b525ead061b6bd92dae37970,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BEE-spoke-data/zephyr-220m-sft-full,https://huggingface.co/BEE-spoke-data/zephyr-220m-sft-full,https://huggingface.co/datasets/open-llm-leaderboard/details_BEE-spoke-data__zephyr-220m-sft-full,29.33,25.26,29.03,26.45,43.23,51.62,0.38,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,0.0,1.0,False,49f3c45163e7eb65b9b9deb971f1f69424d5d261,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BELLE-2/BELLE-Llama2-13B-chat-0.4M,https://huggingface.co/BELLE-2/BELLE-Llama2-13B-chat-0.4M,https://huggingface.co/datasets/open-llm-leaderboard/details_BELLE-2__BELLE-Llama2-13B-chat-0.4M,56.62,60.67,82.31,55.94,50.85,75.53,14.4,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,True,llama2,13.0,30.0,False,1776feacbf1052cff02eb3d7531a854555d3f6dc,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BFauber/base_7b,https://huggingface.co/BFauber/base_7b,https://huggingface.co/datasets/open-llm-leaderboard/details_BFauber__base_7b,50.95,53.16,78.59,46.78,38.74,73.88,14.56,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,True,apache-2.0,7.0,0.0,True,7971b900b2e0b2b3657bc70f7cc2e1251b7ac155,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BFauber/bloom-1b1_10e6,https://huggingface.co/BFauber/bloom-1b1_10e6,https://huggingface.co/datasets/open-llm-leaderboard/details_BFauber__bloom-1b1_10e6,30.98,25.43,37.12,25.43,44.4,53.51,0.0,🔶 fine-tuned on domain-specific datasets,BloomForCausalLM,Original,float16,True,apache-2.0,1.0,0.0,True,37d0d3582e88a382e22c7958dd908081553babb6,True,True,,,,,,,,,,,,,,,,,,,True,True,True
BFauber/lora_llama2-13b_10e4,https://huggingface.co/BFauber/lora_llama2-13b_10e4,https://huggingface.co/datasets/open-llm-leaderboard/details_BFauber__lora_llama2-13b_10e4,56.08,60.07,82.45,55.37,38.52,76.95,23.12,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,True,apache-2.0,13.0,0.0,True,dbe93078c2e3b8744ca4fc6fbba9fa1f43dd6dcd,True,True,,,,,,,,,,,,,,,,,,,True,True,True
